p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,index
1587,49,0,279,971,1273,0,3086,1229,750,938,1040,2012-08-16T19:06:37.026000
0,2320,0,0,2525,1868,0,4022,1006,0,0,0,2023-04-08T16:16:33.519000
0,2311,0,0,2534,1869,0,4029,1013,0,0,0,2023-04-08T16:16:34.019000
0,2322,0,0,2535,1879,1,4033,1014,0,0,0,2023-04-08T16:16:34.519000
0,2394,0,0,2532,1877,0,4030,1012,0,0,0,2023-04-08T16:16:35.019000
0,2423,0,0,2527,1880,0,4031,1015,0,0,0,2023-04-08T16:16:35.519000
0,2507,0,0,2466,1716,0,3967,861,0,0,0,2023-04-08T16:16:36.019000
0,2358,0,0,2447,1877,0,4018,756,0,0,0,2023-04-08T16:16:36.519000
0,2352,0,0,2487,1909,0,4022,785,0,0,0,2023-04-08T16:16:37.019000
0,2440,0,0,2512,1920,0,4015,808,0,0,0,2023-04-08T16:16:37.519000
0,2459,0,0,2518,1926,0,4014,816,1,0,0,2023-04-08T16:16:38.019000
0,2432,0,0,2525,1934,0,4014,829,0,0,0,2023-04-08T16:16:38.519000
0,2399,0,0,2511,1844,0,4012,833,0,0,0,2023-04-08T16:16:39.019000
0,2378,0,0,2530,1946,0,4019,832,1,0,0,2023-04-08T16:16:39.519000
0,2452,0,0,2534,1965,0,4021,849,3,0,0,2023-04-08T16:16:40.019000
0,2489,0,0,2534,1957,0,4020,859,4,0,0,2023-04-08T16:16:40.519000
0,2423,0,0,2529,1962,0,4014,859,5,0,0,2023-04-08T16:16:41.019000
0,2411,0,0,2539,1971,0,4019,865,3,0,0,2023-04-08T16:16:41.519000
0,2400,0,0,2539,1973,0,4021,865,5,0,0,2023-04-08T16:16:42.019000
0,2459,0,0,2538,1979,0,4019,872,6,0,0,2023-04-08T16:16:42.519000
0,2511,0,0,2532,1975,0,4021,877,11,0,0,2023-04-08T16:16:43.019000
0,2493,0,0,2531,1976,0,4018,881,11,0,0,2023-04-08T16:16:43.519000
0,2432,0,0,2538,1985,0,4017,884,16,0,0,2023-04-08T16:16:44.019000
0,2435,0,0,2536,1988,0,4017,887,13,0,0,2023-04-08T16:16:44.519000
0,2576,0,0,2535,1902,0,3988,972,0,0,0,2023-04-08T16:16:45.019000
0,2421,0,0,2543,2011,1,4019,885,1,0,0,2023-04-08T16:16:45.519000
0,2341,0,0,2555,2023,0,4018,904,0,0,0,2023-04-08T16:16:46.019000
0,2399,0,0,2555,2024,0,4020,906,0,0,0,2023-04-08T16:16:46.519000
0,2445,0,0,2551,2019,0,4020,919,0,0,0,2023-04-08T16:16:47.019000
0,2416,0,0,2537,2011,0,4014,905,4,0,0,2023-04-08T16:16:47.519000
0,2447,0,0,2531,2014,0,4011,886,13,0,0,2023-04-08T16:16:48.019000
0,2459,0,0,2527,2011,0,4006,887,16,0,0,2023-04-08T16:16:48.519000
0,2459,0,0,2532,1991,0,4019,884,15,0,0,2023-04-08T16:16:49.019000
0,2426,0,0,2545,2017,0,4018,755,20,0,0,2023-04-08T16:16:49.519000
0,2416,0,0,2552,2021,0,4019,772,16,0,0,2023-04-08T16:16:50.019000
0,2386,0,0,2562,2026,0,4023,747,15,0,0,2023-04-08T16:16:50.519000
0,2374,0,0,2560,2032,0,4022,781,4,0,0,2023-04-08T16:16:51.019000
0,2485,0,0,2374,1860,0,4017,835,3,0,0,2023-04-08T16:16:51.519000
0,2601,0,0,2404,1804,0,3953,927,2,0,0,2023-04-08T16:16:52.019000
0,2509,0,0,2457,1942,0,3906,796,9,0,0,2023-04-08T16:16:52.519000
0,2320,0,0,2537,1929,0,3906,600,1,0,0,2023-04-08T16:16:53.019000
0,2437,0,0,2547,1944,0,3923,627,1,0,0,2023-04-08T16:16:53.519000
0,2522,0,0,2545,1943,0,3937,683,4,0,0,2023-04-08T16:16:54.019000
0,2475,0,0,2548,1945,0,3980,718,6,0,0,2023-04-08T16:16:54.519000
0,2416,0,0,2558,1952,0,3991,729,4,0,0,2023-04-08T16:16:55.019000
0,2368,0,0,2563,1961,0,3993,745,2,0,0,2023-04-08T16:16:55.519000
0,2350,0,0,2568,1979,1,3993,758,3,0,0,2023-04-08T16:16:56.019000
0,2400,0,0,2571,1970,1,3989,772,4,0,0,2023-04-08T16:16:56.519000
0,2497,0,0,2557,1955,1,3992,787,3,0,0,2023-04-08T16:16:57.019000
0,2503,0,0,2562,1970,0,3989,798,5,0,0,2023-04-08T16:16:57.519000
0,2416,0,0,2567,1960,0,3986,793,2,0,0,2023-04-08T16:16:58.019000
0,2349,0,0,2568,1977,0,3986,802,6,0,0,2023-04-08T16:16:58.519000
0,2352,0,0,2575,1990,0,3988,802,6,0,0,2023-04-08T16:16:59.019000
0,2375,0,0,2578,2000,0,3985,795,5,0,0,2023-04-08T16:16:59.519000
0,2483,0,0,2577,1995,0,3986,805,2,0,0,2023-04-08T16:17:00.019000
0,2575,0,0,2566,1997,0,3986,821,9,0,0,2023-04-08T16:17:00.519000
0,2567,0,0,2461,1914,0,3989,917,24,0,0,2023-04-08T16:17:01.019000
0,2768,0,0,2785,1871,0,3994,596,0,0,0,2023-04-08T16:17:01.519000
0,2734,1456,0,2582,1873,0,4013,750,72,0,0,2023-04-08T16:17:02.019000
0,2416,1187,0,2327,1898,0,4018,686,447,0,677,2023-04-08T16:17:02.519000
1695,2367,1841,0,1985,2077,0,4026,641,589,0,926,2023-04-08T16:17:03.019000
1392,2679,1659,0,2823,1970,0,4027,447,355,0,905,2023-04-08T16:17:03.519000
1790,2753,304,0,2467,2173,0,4022,565,569,0,896,2023-04-08T16:17:04.019000
1909,2710,2208,0,2177,2116,0,4024,671,642,0,972,2023-04-08T16:17:04.519000
1958,2679,2599,0,2249,2142,0,4025,748,608,0,999,2023-04-08T16:17:05.019000
1649,2704,2684,0,2508,2096,0,4025,784,560,0,967,2023-04-08T16:17:05.519000
1022,2227,2907,0,2580,2237,0,4030,807,625,0,1033,2023-04-08T16:17:06.019000
0,9,2891,0,2758,2269,0,4025,855,670,0,1066,2023-04-08T16:17:06.519000
0,634,2893,226,2025,2151,0,4027,857,585,0,1003,2023-04-08T16:17:07.019000
0,590,2829,845,2048,2004,0,4027,882,601,0,936,2023-04-08T16:17:07.519000
0,388,2720,118,2083,2073,0,4024,893,605,0,987,2023-04-08T16:17:08.019000
340,969,3137,757,2070,2069,0,4025,876,465,0,962,2023-04-08T16:17:08.519000
48,598,3204,743,2106,2026,0,4013,905,550,0,962,2023-04-08T16:17:09.019000
643,1191,3229,858,2083,2081,0,4021,912,510,0,1032,2023-04-08T16:17:09.519000
791,1322,3152,364,2004,2146,0,4025,902,537,0,1075,2023-04-08T16:17:10.019000
898,1611,3279,144,2068,2145,0,4015,925,511,0,1043,2023-04-08T16:17:10.519000
1003,1663,3303,122,2034,2166,0,4016,933,500,0,1062,2023-04-08T16:17:11.019000
1042,1749,3307,0,2070,2188,0,4014,946,470,0,1082,2023-04-08T16:17:11.519000
946,1819,3330,0,2089,2200,0,4008,955,505,0,1084,2023-04-08T16:17:12.019000
1051,1843,3316,199,2087,2216,0,4020,965,518,0,1076,2023-04-08T16:17:12.519000
1072,1790,3314,282,2089,2208,0,4022,968,511,0,1050,2023-04-08T16:17:13.019000
1008,1776,3237,80,2089,2241,0,4025,966,528,0,1042,2023-04-08T16:17:13.519000
1079,1806,3248,592,2059,2258,0,4028,969,532,0,1066,2023-04-08T16:17:14.019000
1029,1744,3309,619,2108,2224,0,4028,986,535,1,1064,2023-04-08T16:17:14.519000
941,1762,3317,1002,2116,2187,0,4029,993,492,0,1050,2023-04-08T16:17:15.019000
917,1584,3308,864,2133,2223,0,4029,995,510,0,1052,2023-04-08T16:17:15.519000
914,1283,3285,646,2158,2241,0,4031,996,531,0,1062,2023-04-08T16:17:16.019000
894,851,3282,891,2159,2246,0,4029,1002,533,0,1028,2023-04-08T16:17:16.519000
756,1313,3263,929,2165,2249,0,4029,1001,537,0,1041,2023-04-08T16:17:17.019000
711,1331,3265,569,2179,2254,0,4028,1007,532,0,1059,2023-04-08T16:17:17.519000
666,1114,3289,305,2172,2259,0,4025,1013,547,0,1064,2023-04-08T16:17:18.019000
683,1250,3291,451,2179,2269,0,4022,1014,549,0,1065,2023-04-08T16:17:18.519000
718,1191,3284,478,2171,2267,0,4012,1017,550,0,1082,2023-04-08T16:17:19.019000
739,1142,3268,471,2183,2281,0,4021,1019,545,0,1080,2023-04-08T16:17:19.519000
784,1188,3281,432,2176,2278,0,4019,1023,541,0,1099,2023-04-08T16:17:20.019000
806,1165,3295,439,2183,2277,0,4018,1026,557,0,1097,2023-04-08T16:17:20.519000
802,1246,3298,449,2193,2281,0,4018,1027,554,0,1095,2023-04-08T16:17:21.019000
832,1264,3295,448,2203,2286,0,4017,1031,552,0,1085,2023-04-08T16:17:21.519000
849,1245,3299,406,2210,2281,0,4017,1035,554,0,1078,2023-04-08T16:17:22.020000
874,1158,3299,421,2215,2288,0,4016,1035,561,0,1063,2023-04-08T16:17:22.520000
833,1174,3325,0,2222,2269,1,4018,1035,553,0,1073,2023-04-08T16:17:23.020000
0,0,3246,817,2095,2302,0,4018,1031,495,0,953,2023-04-08T16:17:23.520000
87,438,3227,1543,1896,2236,0,4012,1013,507,0,1015,2023-04-08T16:17:24.020000
334,798,3233,1351,1993,2240,0,4014,1035,495,0,1056,2023-04-08T16:17:24.520000
0,720,3137,1327,2021,2226,0,4010,1048,466,0,998,2023-04-08T16:17:25.020000
429,1131,3168,1447,2036,2273,0,4012,1046,494,0,1058,2023-04-08T16:17:25.520000
533,1021,3184,1463,2044,2286,0,4012,1042,512,0,1103,2023-04-08T16:17:26.020000
501,1168,3198,1232,2052,2275,0,4010,1049,508,0,1119,2023-04-08T16:17:26.520000
645,1203,3216,1223,2060,2282,0,4012,1053,520,0,1126,2023-04-08T16:17:27.020000
645,1229,3206,1165,2068,2285,0,4013,1052,522,0,1141,2023-04-08T16:17:27.520000
660,1171,3200,1119,2079,2286,0,4013,1053,525,1,1142,2023-04-08T16:17:28.020000
681,1200,3218,1150,2087,2287,0,4013,1058,533,0,1144,2023-04-08T16:17:28.520000
683,1264,3219,1152,2092,2291,0,4013,1056,528,0,1148,2023-04-08T16:17:29.020000
688,1278,3233,1148,2101,2292,0,4011,1058,530,0,1149,2023-04-08T16:17:29.520000
623,1308,3267,1158,2092,2270,0,4011,1063,533,0,1163,2023-04-08T16:17:30.020000
832,1661,3299,1407,2020,2261,0,4017,1068,512,0,1162,2023-04-08T16:17:30.520000
1191,1877,3313,762,2072,2262,0,4015,1068,519,0,1181,2023-04-08T16:17:31.020000
1376,2043,3357,912,1967,2227,0,4018,1064,532,0,1162,2023-04-08T16:17:31.520000
1808,2255,3202,178,1991,2300,0,4019,1037,530,1,1184,2023-04-08T16:17:32.020000
1905,2332,3263,194,2033,2289,0,4019,1064,515,0,1192,2023-04-08T16:17:32.520000
1831,2306,3357,0,2099,2259,0,4016,1068,467,0,1186,2023-04-08T16:17:33.020000
1760,2333,3371,218,2114,2255,0,4016,1071,484,0,1200,2023-04-08T16:17:33.520000
1744,2130,3390,402,2072,2318,0,4019,1069,519,0,1210,2023-04-08T16:17:34.020000
1742,2080,3409,507,2080,2311,0,4020,1065,524,0,1189,2023-04-08T16:17:34.520000
1589,1967,3239,431,2104,2323,0,4019,1063,553,0,1080,2023-04-08T16:17:35.020000
1665,2081,3314,214,2112,2306,0,4008,1067,540,0,1134,2023-04-08T16:17:35.520000
1613,2067,3348,348,2137,2307,0,4019,1070,538,0,1141,2023-04-08T16:17:36.020000
1655,2175,3346,350,2143,2300,0,4018,1076,546,0,1154,2023-04-08T16:17:36.520000
1563,2045,3398,670,2155,2298,0,4018,1078,549,0,1168,2023-04-08T16:17:37.020000
1514,2128,3402,1119,2147,2301,0,4019,1072,561,1,1175,2023-04-08T16:17:37.520000
1426,2100,3409,1374,2180,2294,0,4019,1076,569,0,1188,2023-04-08T16:17:38.020000
1199,1792,3392,866,2166,2316,0,4020,1063,572,0,1180,2023-04-08T16:17:38.520000
702,1908,3403,1120,2142,2153,0,4014,1051,555,0,967,2023-04-08T16:17:39.020000
1963,2166,2420,473,1997,2310,0,4011,783,557,0,918,2023-04-08T16:17:39.520000
2020,2179,2496,819,1994,2352,0,4023,639,651,0,873,2023-04-08T16:17:40.020000
1863,2258,3091,549,2040,2132,0,4010,773,495,0,996,2023-04-08T16:17:40.520000
1701,2241,3253,1328,2188,2160,0,4010,851,471,0,1013,2023-04-08T16:17:41.020000
1773,2256,3262,665,2292,2211,0,4017,894,448,0,1049,2023-04-08T16:17:41.520000
1847,2195,3251,609,2314,2224,0,4016,914,443,0,1057,2023-04-08T16:17:42.020000
1856,2126,3267,597,2322,2231,0,4012,922,479,0,1073,2023-04-08T16:17:42.520000
1909,2213,3226,533,2323,2258,0,4015,916,486,0,1085,2023-04-08T16:17:43.020000
1863,2129,3318,630,2285,2282,0,4008,931,516,0,1118,2023-04-08T16:17:43.520000
1919,2304,3248,689,2319,2300,0,4009,916,545,0,1130,2023-04-08T16:17:44.020000
1955,2241,3232,281,2316,2273,0,4021,877,535,0,1124,2023-04-08T16:17:44.520000
1882,2258,3255,891,2146,2244,0,4020,869,529,0,1128,2023-04-08T16:17:45.020000
1904,2233,3280,739,2167,2233,0,4021,877,538,0,1121,2023-04-08T16:17:45.520000
1908,2304,3271,871,2173,2233,0,4022,879,524,0,1119,2023-04-08T16:17:46.020000
1922,2310,3274,336,2171,2218,0,4020,877,516,0,1120,2023-04-08T16:17:46.520000
1930,2359,3274,275,2178,2217,0,4019,890,514,0,1122,2023-04-08T16:17:47.020000
1967,2384,3274,635,2183,2215,0,4018,895,508,0,1121,2023-04-08T16:17:47.520000
1984,2382,3273,782,2177,2216,0,4018,894,517,0,1129,2023-04-08T16:17:48.020000
1968,2333,3280,806,2190,2212,0,4014,911,508,0,1131,2023-04-08T16:17:48.520000
1947,2290,3287,771,2193,2219,0,4014,909,508,0,1130,2023-04-08T16:17:49.020000
1936,2263,3283,842,2193,2221,0,4015,901,515,0,1129,2023-04-08T16:17:49.520000
1937,2235,3281,852,2195,2220,0,4015,906,523,0,1129,2023-04-08T16:17:50.020000
2005,2273,3280,894,2201,2226,0,4015,909,515,0,1135,2023-04-08T16:17:50.520000
2037,2361,3291,368,2215,2226,0,4016,922,514,0,1135,2023-04-08T16:17:51.020000
2020,2305,3269,791,2211,2221,0,4017,927,514,0,1136,2023-04-08T16:17:51.520000
2033,2297,3275,894,2216,2226,0,4016,925,516,0,1137,2023-04-08T16:17:52.020000
