p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
0,0,1259,11,1205,370,279,824,500,131,179,248,1
929,1232,1034,1646,819,857,269,3797,412,479,319,662,1
619,1457,564,1535,761,602,271,3774,367,550,341,771,1
843,273,1490,2209,821,900,202,3075,419,627,394,799,1
723,440,1933,2032,938,816,284,2994,467,556,371,804,1
0,0,0,0,1233,890,297,3121,531,569,243,888,1
0,525,0,0,961,987,281,4006,467,600,313,778,1
0,0,0,0,1223,963,297,3920,590,532,272,916,1
0,0,0,0,1188,948,289,3922,565,579,256,902,1
0,0,0,0,1230,982,302,3925,597,603,304,961,1
0,0,0,0,1249,982,302,3923,603,580,290,945,1
0,0,0,0,1067,932,272,3909,577,609,284,860,1
0,0,0,0,1146,982,299,3922,586,632,304,948,1
149,399,95,867,956,858,245,4028,526,365,536,777,1
1511,2090,951,1124,889,895,266,4007,517,375,447,665,1
1649,1885,21,1006,1006,994,241,3054,547,389,358,663,1
1575,1872,252,1349,991,991,231,3968,474,358,292,680,1
1837,1922,0,480,887,936,241,3995,462,399,302,713,1
1603,2015,165,439,1028,1003,269,2849,565,431,382,718,1
1819,2143,0,695,1012,893,281,3992,536,409,375,789,1
1840,2031,0,560,958,929,270,3984,512,384,374,781,1
1619,2222,0,450,1065,906,278,3993,655,481,445,830,1
1759,2203,0,808,1064,893,275,3993,536,440,425,792,1
1621,2237,0,466,1071,795,285,3812,708,551,418,979,1
1650,2230,0,527,1089,887,287,3985,687,528,394,921,1
1602,2327,0,258,1120,824,276,3824,745,575,418,1031,1
1473,2150,58,1098,1112,798,290,3800,733,565,449,976,1
1307,1631,768,801,1083,931,294,4018,757,627,457,957,1
1415,2173,0,445,1092,915,285,4019,737,587,431,1047,1
1425,1923,331,948,1086,951,282,4019,741,656,450,1070,1
1364,1766,602,991,1032,946,277,4018,719,644,464,1030,1
1491,1963,335,1259,1044,906,277,3931,741,628,472,1098,1
1462,1975,57,1520,1042,961,278,4019,724,663,478,1054,1
1552,2022,260,1520,1066,896,286,3813,764,617,484,1124,1
1509,1975,199,1434,1058,923,281,3813,750,620,481,1091,1
1566,2077,335,1296,1081,909,292,3817,761,641,427,1113,1
1522,2032,293,1474,1067,904,289,3802,764,628,456,1120,1
1638,2010,102,1462,905,865,251,3973,612,581,431,941,1
1535,2032,265,1471,963,864,178,3990,647,657,698,1083,1
1609,2181,402,1194,1076,825,276,3815,457,614,232,1092,1
1634,2106,224,1403,965,843,254,3702,644,645,473,1139,1
1729,2245,195,1651,1127,893,261,3989,330,600,333,1060,1
1678,2194,355,1584,1029,828,266,3607,444,605,307,1045,1
1712,2125,295,1617,910,838,249,3875,427,687,277,1110,1
1687,2187,272,1523,1096,913,264,3990,349,649,218,1101,1
1676,2160,176,1719,1003,883,219,4009,642,508,655,734,1
1743,2080,227,1637,896,832,252,3024,621,654,453,1073,1
1733,2121,21,1813,918,848,224,4016,720,485,509,701,1
1753,2137,125,1733,892,824,240,4016,780,551,666,708,1
1841,2100,2,1506,929,900,283,3995,657,481,389,800,1
1760,2130,0,1389,1011,955,302,3999,594,457,360,727,1
1877,2155,47,1707,956,868,282,3998,554,560,676,846,1
1891,2160,68,1535,974,908,288,3878,697,501,436,742,1
1854,2227,31,1563,953,793,270,3652,670,610,406,956,1
1872,2202,0,1653,961,903,250,4014,605,583,359,910,1
1901,2267,57,1334,1033,875,263,3973,697,603,462,1004,1
1869,2239,31,1483,969,835,250,3955,726,549,435,922,1
1813,2269,153,1328,995,804,296,3762,762,625,446,1026,1
1917,2263,10,1500,988,882,288,3972,736,612,499,1032,1
1843,2243,137,1465,1018,854,273,3965,784,629,512,1107,1
