p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
2497,2833,0,0,1124,884,366,4027,479,249,139,415,2
2490,2831,0,0,1107,876,373,4027,481,250,134,412,2
2495,2834,0,0,1138,882,368,4036,507,215,153,428,2
2499,2835,0,0,1135,882,364,4027,493,224,150,423,2
2486,2831,0,0,1145,891,369,4025,505,221,160,450,2
2496,2838,0,0,1143,885,370,4037,508,225,143,431,2
2543,2887,0,0,1129,788,370,4034,505,212,129,361,2
2514,2852,0,0,1150,896,367,4035,513,228,147,442,2
2623,2914,0,0,1154,882,417,4036,514,218,137,415,2
2625,2935,0,0,1148,868,417,4036,506,217,132,402,2
2576,2836,0,0,1162,883,403,4029,513,237,133,424,2
2655,2924,0,0,1165,917,425,4037,521,225,109,422,2
2559,2869,0,0,1157,916,382,4027,488,236,124,420,2
2575,2894,0,0,1176,930,433,4038,506,232,108,355,2
2575,2886,0,0,1162,953,370,4037,471,241,139,404,2
2608,2859,0,0,1141,963,356,4037,464,243,132,409,2
2581,2908,0,0,1151,971,377,4037,487,240,153,443,2
2576,2899,0,0,1149,959,374,4027,478,239,151,436,2
2555,2895,0,0,1157,973,384,4038,494,247,156,459,2
2558,2893,0,0,1158,980,385,4028,495,246,154,449,2
2573,2896,0,0,1151,994,387,4037,504,249,146,461,2
2544,2894,0,0,1166,976,386,4033,491,247,165,459,2
2577,2893,0,0,1137,1001,386,4028,503,248,137,467,2
2581,2896,0,0,1149,996,386,4038,492,248,141,466,2
2481,2835,0,0,1035,873,291,4033,377,203,130,390,2
2605,2901,0,0,1135,1008,379,4038,503,251,133,442,2
2501,2688,0,0,774,646,452,4035,628,201,126,287,2
2389,2798,0,0,870,759,408,4044,423,242,88,498,2
2613,2766,0,0,865,767,334,4035,643,235,205,431,2
2603,2767,0,0,812,748,330,4026,652,227,159,381,2
2598,2764,0,0,884,796,339,4025,689,244,225,474,2
2614,2768,0,0,884,787,337,4035,680,243,220,455,2
2608,2734,0,0,870,786,349,4036,714,245,184,483,2
2608,2756,0,0,890,786,346,4035,708,249,206,491,2
2594,2728,0,0,899,817,353,4035,733,255,194,511,2
2622,2759,0,0,891,814,352,4036,718,252,181,498,2
2596,2699,0,0,904,822,356,4028,730,256,215,534,2
2609,2727,0,0,902,827,357,4036,742,257,195,526,2
2598,2704,0,0,901,845,358,4036,713,265,192,531,2
2590,2689,0,0,900,841,358,4035,726,257,212,539,2
2609,2727,0,0,907,849,358,4026,705,264,190,534,2
2608,2706,0,0,901,847,357,4036,718,269,191,546,2
2610,2730,0,0,896,871,360,4026,713,263,203,559,2
2615,2739,0,0,892,866,361,4036,722,266,180,543,2
2621,2733,0,0,902,876,363,4036,697,270,197,571,2
2621,2736,0,0,896,875,362,4026,705,270,201,566,2
2649,2787,0,0,909,882,364,4036,712,295,184,572,2
2635,2763,0,0,906,877,364,4036,708,272,192,566,2
2626,2755,0,0,916,895,363,4025,728,330,211,576,2
2647,2783,0,0,911,888,364,4036,709,321,212,572,2
2637,2743,0,0,913,897,364,4036,725,338,194,583,2
2640,2757,0,0,912,895,364,4036,733,338,205,582,2
2646,2763,0,0,920,892,363,4027,741,339,194,583,2
2640,2759,0,0,916,905,364,4035,733,337,201,586,2
2667,2788,0,0,912,900,366,4036,732,346,201,576,2
2651,2768,0,0,919,893,363,4026,737,343,200,588,2
2661,2767,0,0,929,904,365,4036,743,347,199,577,2
2667,2768,0,0,926,906,364,4036,742,348,195,583,2
2645,2753,0,0,926,892,364,4025,738,349,202,590,2
2642,2754,0,0,924,892,364,4025,739,348,190,576,2
2674,2787,0,0,914,877,366,4036,739,351,178,539,2
2655,2759,0,0,930,898,365,4035,745,351,209,586,2
2656,2752,0,0,912,892,364,4025,734,355,205,519,2
2674,2797,0,0,913,880,365,4026,740,356,170,499,2
2663,2759,0,0,915,901,368,4036,718,354,216,531,2
2662,2761,0,0,913,902,367,4036,725,357,216,530,2
2655,2746,0,0,916,893,369,4026,727,357,228,538,2
2666,2758,0,0,916,894,367,4036,726,359,225,535,2
2671,2771,0,0,918,894,367,4032,743,363,221,534,2
2662,2759,0,0,917,890,368,4026,734,360,192,528,2
2669,2758,0,0,918,895,368,4027,750,366,212,537,2
2673,2768,0,0,920,893,369,4036,743,366,217,538,2
2660,2748,0,0,915,891,368,4026,753,363,214,529,2
2673,2763,0,0,920,891,368,4036,743,369,226,537,2
2685,2789,0,0,922,904,371,4036,757,368,231,534,2
2677,2768,0,0,919,891,370,4036,749,371,224,540,2
2670,2754,0,0,920,902,371,4036,759,375,244,547,2
2688,2785,0,0,922,900,370,4036,760,367,244,540,2
2686,2768,0,0,921,908,370,4036,752,369,258,552,2
2671,2747,0,0,917,905,368,4027,767,370,244,549,2
2688,2784,0,0,922,914,372,4037,743,369,240,560,2
2690,2768,0,0,918,913,371,4036,752,368,230,559,2
2704,2782,0,0,926,913,372,4036,750,369,225,572,2
2704,2794,0,0,926,909,371,4037,753,368,225,568,2
2695,2783,0,0,934,930,370,4036,755,378,213,575,2
2704,2798,0,0,926,924,370,4036,752,373,241,575,2
2714,2798,0,0,932,928,370,4027,743,379,216,569,2
2707,2800,0,0,936,929,373,4037,742,385,212,566,2
2704,2796,0,0,934,925,371,4036,740,378,229,577,2
2687,2782,0,0,929,920,370,4026,745,381,224,582,2
2707,2811,0,0,938,932,372,4036,761,379,240,588,2
2701,2805,0,0,940,928,372,4036,758,382,238,583,2
2701,2783,0,0,941,920,373,4037,762,389,235,587,2
2707,2795,0,0,938,927,373,4037,762,386,237,584,2
2686,2775,0,0,941,918,371,4027,747,388,249,588,2
2688,2773,0,0,942,920,371,4027,759,384,241,587,2
2709,2802,0,0,946,929,374,4036,747,381,242,575,2
2704,2791,0,0,946,927,372,4037,744,386,256,585,2
2707,2811,0,0,945,936,374,4037,744,381,219,582,2
2714,2817,0,0,943,930,374,4037,751,381,209,577,2
2704,2800,0,0,947,918,374,4037,743,381,209,589,2
2710,2813,0,0,947,924,374,4037,737,382,201,591,2
2703,2790,0,0,945,926,373,4026,746,375,230,586,2
2695,2791,0,0,947,921,375,4037,748,382,221,589,2
2719,2830,0,0,950,927,375,4036,747,380,227,579,2
2719,2819,0,0,945,925,373,4027,750,377,223,591,2
2714,2797,0,0,950,922,378,4037,743,376,234,587,2
2720,2815,0,0,949,927,374,4037,747,379,222,582,2
2706,2797,0,0,951,919,379,4036,743,378,239,575,2
2709,2797,0,0,949,919,378,4037,744,384,238,585,2
2707,2808,0,0,952,920,381,4036,745,381,235,568,2
2718,2811,0,0,953,923,381,4036,746,381,245,580,2
2715,2801,0,0,954,925,379,4027,751,374,243,571,2
2720,2806,0,0,955,927,380,4036,756,378,240,561,2
2707,2789,0,0,951,913,379,4036,745,379,241,556,2
2711,2804,0,0,954,933,380,4037,747,381,247,570,2
2727,2832,0,0,955,926,381,4037,747,388,219,482,2
2719,2817,0,0,958,922,381,4036,741,388,230,506,2
2722,2800,0,0,942,931,380,4036,732,386,222,529,2
2710,2811,0,0,948,931,379,4025,729,391,214,505,2
2707,2785,0,0,946,929,381,4036,739,392,227,541,2
2703,2767,0,0,940,927,380,4036,742,393,222,532,2
2723,2810,0,0,951,938,379,4036,748,393,193,526,2
2717,2786,0,0,949,935,379,4027,738,393,217,539,2
2726,2807,0,0,950,939,380,4037,749,387,247,532,2
2727,2832,0,0,951,942,381,4037,751,392,225,523,2
2718,2786,0,0,950,927,380,4036,748,389,266,542,2
2719,2779,0,0,946,936,379,4036,742,391,256,538,2
2714,2799,0,0,952,927,380,4031,748,382,263,543,2
2721,2787,0,0,952,929,381,4037,750,390,266,544,2
2727,2803,0,0,959,926,382,4033,740,392,225,533,2
2735,2829,0,0,953,925,382,4037,746,388,226,525,2
2709,2778,0,0,955,928,381,4025,754,394,243,534,2
2723,2794,0,0,959,927,381,4037,744,392,240,536,2
2735,2818,0,0,962,935,382,4036,754,394,228,526,2
2725,2793,0,0,959,929,381,4036,757,390,234,534,2
2725,2797,0,0,958,939,381,4036,757,393,217,537,2
2737,2830,0,0,964,940,382,4037,756,395,205,523,2
2722,2789,0,0,962,938,380,4027,751,395,231,543,2
2727,2792,0,0,962,938,381,4036,750,396,230,547,2
2736,2821,0,0,963,942,384,4036,746,397,218,535,2
2727,2801,0,0,965,940,383,4037,748,390,238,551,2
2736,2807,0,0,964,945,383,4037,742,402,216,540,2
2737,2826,0,0,964,947,382,4037,751,397,200,531,2
2725,2790,0,0,966,945,383,4037,747,396,227,544,2
2727,2794,0,0,964,940,383,4035,741,393,224,542,2
2736,2825,0,0,969,946,385,4037,745,395,234,542,2
2717,2794,0,0,964,939,382,4034,745,394,235,549,2
2736,2802,0,0,968,942,384,4036,743,389,249,548,2
2736,2818,0,0,966,947,384,4029,750,396,234,536,2
2736,2797,0,0,971,945,384,4037,748,394,256,555,2
2731,2797,0,0,972,940,384,4037,741,395,254,547,2
2731,2821,0,0,974,952,384,4036,750,393,245,533,2
2738,2815,0,0,974,940,385,4037,749,394,254,549,2
2737,2809,0,0,972,950,384,4027,745,395,256,547,2
2744,2830,0,0,973,952,385,4037,747,400,258,539,2
2736,2795,0,0,975,948,384,4037,752,400,265,548,2
2735,2798,0,0,976,951,385,4036,755,397,257,545,2
2743,2822,0,0,981,951,388,4037,762,400,272,541,2
2736,2804,0,0,977,949,387,4037,755,393,259,547,2
2746,2818,0,0,978,951,389,4036,748,397,286,554,2
2745,2832,0,0,979,952,390,4037,753,391,279,545,2
2726,2787,0,0,973,948,387,4036,763,392,305,557,2
2737,2800,0,0,978,953,387,4037,758,397,298,560,2
2750,2857,0,0,960,966,388,4027,759,398,287,558,2
2745,2812,0,0,976,956,389,4037,763,395,317,552,2
2745,2833,0,0,962,952,386,4036,676,391,277,542,2
2741,2832,0,0,969,945,388,4037,748,395,274,516,2
2749,2832,0,0,969,957,388,4036,627,395,293,557,2
2746,2835,0,0,966,958,387,4037,646,393,286,551,2
2745,2827,0,0,965,958,386,4037,654,397,298,571,2
2750,2834,0,0,967,957,388,4037,639,397,295,565,2
2746,2833,0,0,966,962,388,4037,672,398,284,577,2
2728,2817,0,0,966,958,387,4027,656,394,288,573,2
2736,2821,0,0,967,964,387,4026,677,399,289,584,2
2742,2821,0,0,960,954,387,4037,666,396,283,579,2
2747,2852,0,0,967,984,390,4037,681,404,306,557,2
2751,2848,0,0,965,981,389,4037,682,403,309,575,2
2739,2810,0,0,958,983,390,4036,696,399,314,551,2
2752,2832,0,0,966,980,390,4036,682,400,312,561,2
2763,2850,0,0,965,984,389,4027,706,395,272,545,2
2757,2827,0,0,968,983,390,4037,691,394,314,558,2
2765,2858,0,0,971,996,392,4037,710,395,300,570,2
2750,2854,0,0,966,988,390,4027,708,401,292,551,2
2752,2828,0,0,972,991,390,4037,714,399,307,577,2
2759,2839,0,0,973,996,391,4037,716,392,302,579,2
2753,2832,0,0,973,991,390,4037,722,404,312,581,2
2742,2815,0,0,970,986,390,4027,713,400,306,576,2
2751,2835,0,0,972,995,391,4027,726,402,311,593,2
2763,2837,0,0,975,995,393,4037,721,396,317,591,2
2760,2837,0,0,976,998,392,4037,724,398,318,596,2
2763,2843,0,0,977,1000,392,4037,727,404,315,598,2
2759,2832,0,0,977,1000,393,4036,730,404,323,604,2
2755,2832,0,0,976,997,392,4036,731,399,318,599,2
2768,2848,0,0,978,1006,392,4037,742,409,308,586,2
2767,2841,0,0,977,1002,392,4036,735,405,320,599,2
2766,2839,0,0,978,1004,391,4036,735,404,318,593,2
2756,2843,0,0,978,1006,393,4037,736,404,317,592,2
2762,2834,0,0,979,1007,392,4037,734,405,324,597,2
2761,2832,0,0,976,1000,389,4027,735,398,319,588,2
2772,2857,0,0,979,1017,393,4037,738,399,323,590,2
2769,2843,0,0,980,1010,392,4037,733,406,332,593,2
2770,2841,0,0,979,1009,391,4037,748,405,328,598,2
2775,2862,0,0,980,1012,393,4037,739,406,321,590,2
2766,2859,0,0,980,1014,391,4036,749,408,326,591,2
2774,2850,0,0,980,1011,392,4037,738,405,327,600,2
2773,2855,0,0,977,1021,391,4027,750,401,320,601,2
2795,2877,0,0,982,1023,393,4037,750,403,320,598,2
2768,2841,0,0,976,1018,393,4037,753,406,322,601,2
2785,2851,0,0,978,1018,392,4036,748,403,323,605,2
2772,2845,0,0,977,1017,392,4036,760,413,328,607,2
2768,2837,0,0,976,1018,393,4036,755,414,322,607,2
2778,2879,0,0,985,1021,392,4037,756,412,325,611,2
2778,2864,0,0,977,1021,392,4036,759,410,323,606,2
2771,2849,0,0,978,1018,393,4037,756,413,333,618,2
2767,2848,0,0,976,1016,392,4036,755,413,319,616,2
2777,2838,0,0,977,1018,391,4036,750,401,328,617,2
2778,2844,0,0,981,1020,392,4028,748,404,324,620,2
2771,2839,0,0,981,1019,393,4036,749,411,327,616,2
2768,2844,0,0,980,1019,394,4037,751,409,329,619,2
2784,2864,0,0,983,1024,395,4036,757,417,322,610,2
2779,2855,0,0,982,1023,393,4036,762,410,328,618,2
2757,2829,0,0,978,1018,393,4027,750,409,327,615,2
2789,2843,0,0,980,1020,393,4036,756,410,326,617,2
2783,2859,0,0,980,1021,394,4036,761,416,326,606,2
2772,2839,0,0,981,1015,394,4036,758,411,328,611,2
2768,2850,0,0,978,1024,393,4027,767,409,306,593,2
2783,2877,0,0,988,1026,395,4036,765,404,315,599,2
2783,2859,0,0,984,1028,395,4037,772,410,314,576,2
2783,2859,0,0,981,1025,393,4037,774,403,311,579,2
2783,2859,0,0,982,1031,395,4037,772,398,303,528,2
2782,2857,0,0,980,1029,393,4037,771,404,314,560,2
2781,2844,0,0,982,1025,390,4037,771,405,318,548,2
2775,2853,0,0,982,1031,394,4038,770,400,312,554,2
2786,2855,0,0,986,1028,392,4037,770,403,326,559,2
2782,2855,0,0,984,1027,392,4037,777,404,326,552,2
2761,2823,0,0,982,1014,390,4027,778,404,324,571,2
2768,2832,0,0,982,1020,391,4028,776,404,323,565,2
2768,2860,0,0,954,1027,383,4037,766,403,282,593,2
2777,2850,0,0,982,1033,391,4036,774,399,328,583,2
2787,2879,0,0,950,1023,392,4037,764,409,335,595,2
2791,2869,0,0,947,1031,379,4037,760,407,300,594,2
2779,2858,0,0,957,1019,392,4037,766,410,333,603,2
2787,2867,0,0,954,1023,393,4037,765,412,345,600,2
2781,2857,0,0,960,1017,393,4036,778,400,344,613,2
2783,2863,0,0,959,1023,391,4037,772,406,340,608,2
2787,2879,0,0,960,1019,393,4037,781,408,366,614,2
2781,2859,0,0,960,1019,393,4036,781,413,358,614,2
2791,2879,0,0,966,1023,394,4037,775,407,360,622,2
2779,2873,0,0,964,1025,392,4028,784,416,368,615,2
2794,2861,0,0,965,1020,392,4038,783,408,375,621,2
2789,2872,0,0,969,1024,394,4037,778,409,365,624,2
2790,2864,0,0,971,1022,392,4037,795,407,368,627,2
2781,2864,0,0,968,1021,391,4038,792,406,368,624,2
2779,2864,0,0,971,1023,394,4036,792,406,323,623,2
2797,2896,0,0,971,1026,394,4038,803,411,306,626,2
2778,2855,0,0,963,1020,392,4027,788,411,332,625,2
2793,2869,0,0,968,1025,396,4038,788,411,331,626,2
2769,2843,0,0,972,1007,392,4037,776,410,337,629,2
2793,2857,0,0,967,1016,391,4037,780,408,332,629,2
2787,2873,0,0,979,1018,393,4037,782,411,367,632,2
2779,2853,0,0,974,1017,391,4038,779,401,362,634,2
2783,2855,0,0,978,1014,391,4037,789,409,370,628,2
2786,2867,0,0,978,1020,392,4037,784,412,367,630,2
2779,2857,0,0,984,1006,391,4027,792,409,372,631,2
2768,2842,0,0,981,1009,393,4036,788,402,363,636,2
2791,2879,0,0,987,1014,393,4037,796,411,374,634,2
2783,2862,0,0,984,1012,393,4037,795,409,374,631,2
2788,2863,0,0,986,1018,392,4037,805,415,378,629,2
2787,2885,0,0,989,1020,393,4037,802,414,380,628,2
2778,2857,0,0,987,1011,393,4037,806,415,381,636,2
2782,2861,0,0,988,1016,393,4037,803,407,382,632,2
2785,2877,0,0,993,1017,394,4037,808,412,385,638,2
2768,2843,0,0,988,1013,391,4038,808,412,386,634,2
2790,2889,0,0,999,1025,395,4038,812,408,379,636,2
2790,2888,0,0,996,1020,394,4033,808,410,386,636,2
2787,2867,0,0,991,1021,394,4037,808,413,383,638,2
