p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
1746,1313,0,1290,1320,1030,170,194,479,145,180,374,1
1582,818,0,1260,1289,1101,146,314,485,180,169,429,1
1818,1947,0,912,1512,938,201,182,485,105,237,331,1
1805,1802,0,923,1389,941,169,181,449,110,208,372,1
1897,1872,0,976,1540,1015,252,178,550,128,250,405,1
1845,1781,0,915,1529,1002,245,184,523,114,240,377,1
1890,2022,0,1020,1559,1063,255,180,586,127,218,411,1
1909,2001,0,1040,1552,1038,255,178,565,136,229,413,1
2071,2022,0,1325,1462,1068,237,179,598,116,172,443,1
2000,2107,0,1053,1521,1084,244,179,593,133,218,426,1
1521,1687,0,1990,1466,1127,247,3892,626,166,197,436,1
2007,2126,0,1578,1462,1083,247,3965,613,139,168,392,1
1563,1548,0,1985,1492,1134,244,3958,636,180,207,453,1
1471,1639,0,1866,1489,1109,238,3952,631,172,193,446,1
1776,1809,0,1411,1533,1181,247,3479,618,159,243,513,1
1643,1616,0,1571,1517,1151,241,2898,627,156,215,466,1
1207,1690,0,1488,1548,1213,251,808,642,169,252,538,1
1267,1761,0,1456,1539,1199,250,2262,608,162,245,533,1
1384,1841,0,1488,1568,1217,254,2032,653,166,234,559,1
1232,1759,0,1498,1552,1200,253,563,655,165,245,546,1
1629,1984,0,1507,1572,1218,258,2561,666,175,226,573,1
1554,1910,0,1419,1561,1228,254,2398,659,162,229,569,1
1637,1914,0,1757,1577,1231,251,3879,673,180,263,580,1
1633,2026,0,1546,1575,1222,257,2837,674,174,247,582,1
1889,2019,0,1747,1584,1237,250,2992,682,197,250,582,1
1871,1974,0,1759,1581,1235,249,3442,679,190,260,580,1
1986,2115,0,1648,1592,1249,253,3872,685,177,219,591,1
1947,2075,0,1629,1592,1242,253,3216,687,189,242,585,1
1946,2032,0,1750,1592,1247,251,3011,686,187,208,606,1
1956,2071,0,1731,1596,1251,253,2676,690,189,213,605,1
2016,2128,0,1709,1596,1255,255,2922,696,195,213,611,1
1963,2006,0,1788,1595,1251,253,2932,692,196,212,612,1
2041,2146,0,1847,1602,1257,254,3001,698,197,211,622,1
2035,2167,0,1766,1595,1257,255,3271,701,197,212,615,1
1991,2112,0,1899,1603,1162,243,1844,709,182,218,580,1
2005,2086,0,1898,1603,1254,254,2464,703,198,207,618,1
1996,2170,0,1412,1629,1145,234,484,604,145,236,515,1
2001,2135,0,1840,1618,1179,251,2980,711,170,224,541,1
1685,1777,0,1507,1692,1082,281,3907,649,188,253,491,1
1712,1670,0,1219,1663,1026,273,3871,638,195,237,459,1
1705,1933,0,1767,1699,1138,288,3898,662,201,248,502,1
1574,1873,0,1667,1680,1107,287,3893,656,200,240,486,1
1805,2015,0,1818,1721,1189,295,3899,682,201,240,527,1
1794,2015,5,1763,1710,1163,294,3890,674,191,243,517,1
1730,2019,0,1902,1722,1204,298,3898,686,196,241,547,1
1715,2005,0,1872,1716,1200,296,3906,684,198,237,543,1
1851,2046,0,1933,1730,1215,297,3914,696,208,246,556,1
1833,2033,0,1915,1729,1211,297,3909,693,205,234,553,1
1904,2156,0,1800,1726,1232,299,3912,706,208,256,556,1
1867,2081,0,1899,1735,1225,300,3915,699,201,249,550,1
1895,2132,0,1929,1738,1235,302,3919,710,209,268,552,1
1923,2174,0,1872,1730,1235,300,3912,704,211,261,542,1
1889,2124,0,1609,1743,1195,247,3989,699,208,274,460,1
1915,2158,0,1931,1744,1236,300,3976,707,205,264,490,1
1731,1776,0,1302,1520,1155,245,4005,525,215,150,528,1
2027,2170,0,1893,1724,1182,253,4003,707,206,271,474,1
1852,1790,0,1690,1651,1399,224,3952,373,155,168,531,1
1915,1956,0,1415,1605,1329,239,3975,451,172,146,471,1
1674,1631,0,677,1828,1385,270,3982,379,157,122,398,1
1783,1259,0,815,1734,1389,277,3980,268,141,111,399,1
1797,2187,0,0,1796,1312,257,3980,441,152,132,536,1
1658,2022,0,184,1806,1264,251,3984,412,154,144,619,1
1951,2207,0,689,1674,1237,252,3858,452,112,155,372,1
1805,2158,0,555,1862,1315,264,3991,467,130,140,373,1
1959,2151,0,1287,1523,1197,225,1943,456,92,186,383,1
1925,2181,0,1381,1466,1188,211,2587,414,84,180,372,1
2018,2139,0,1092,1523,1224,231,2103,484,95,187,408,1
1999,2149,0,1243,1533,1210,224,2599,473,93,187,410,1
2065,2249,0,1137,1522,1230,234,2278,502,99,192,441,1
2066,2224,0,1040,1523,1238,231,3542,489,101,200,437,1
2023,2198,0,1237,1568,1250,235,2642,525,111,186,472,1
2047,2211,0,1278,1549,1244,234,2379,514,104,195,427,1
1970,2251,0,1006,1590,1284,244,3988,531,115,204,498,1
1953,2209,0,1226,1584,1268,243,3984,533,115,195,490,1
2031,2320,0,973,1540,1262,227,2607,520,113,206,457,1
1987,2261,0,828,1568,1268,232,3037,528,115,208,469,1
1985,2270,0,1202,1553,1279,240,2601,516,121,203,489,1
2018,2313,0,1103,1546,1275,238,3767,509,122,202,479,1
2044,2346,0,976,1535,1278,242,3868,495,126,197,509,1
2046,2329,0,1067,1553,1282,242,3876,516,124,204,506,1
2067,2345,0,1296,1552,1289,243,3940,492,126,192,519,1
2061,2335,0,1200,1554,1291,244,3892,517,127,200,506,1
2055,2327,0,1348,1554,1302,242,3996,524,133,174,536,1
2065,2342,0,1337,1552,1296,242,3997,507,132,179,535,1
2057,2325,0,1295,1560,1301,242,3988,542,134,175,550,1
2062,2332,0,1329,1556,1303,244,3997,531,134,177,538,1
2121,2393,0,1010,1553,1311,245,4000,532,138,180,568,1
2095,2357,0,1137,1557,1305,243,3998,538,138,174,561,1
2095,2345,0,1274,1561,1314,245,3989,543,145,185,567,1
2093,2361,0,1155,1559,1308,245,3989,537,140,182,563,1
2069,2433,0,935,1585,1065,250,2592,568,129,153,361,1
2126,2383,0,1091,1570,1317,246,3999,553,145,182,556,1
2118,2359,0,1197,1356,1239,216,3958,373,146,129,415,1
2099,2374,0,1175,1581,1156,245,3989,561,128,165,378,1
2128,2383,0,1247,1469,1274,240,3627,481,164,170,529,1
2135,2355,0,1213,1427,1255,238,3935,445,163,136,507,1
2126,2385,0,1207,1503,1294,246,3609,522,168,182,505,1
2106,2389,0,1214,1496,1281,241,3609,500,167,181,513,1
2115,2417,0,1023,1513,1315,253,3611,531,166,196,527,1
2128,2379,0,1248,1514,1307,253,3613,536,166,192,517,1
2102,2415,0,1110,1537,1331,259,3680,550,172,184,535,1
2158,2432,0,1071,1522,1319,254,3607,540,173,192,527,1
2015,2354,0,1081,1536,1338,261,3939,560,175,202,514,1
2113,2379,0,1156,1541,1338,261,3621,554,172,201,534,1
2105,2406,0,1008,1541,1358,263,3940,569,176,197,531,1
2086,2373,0,976,1532,1345,260,3968,564,174,198,516,1
2155,2512,0,801,1485,1300,265,3630,575,176,202,543,1
2027,2402,0,1093,1535,1360,263,3941,578,176,200,531,1
2242,2414,0,1178,1525,1336,263,3625,585,180,213,547,1
