p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
0,0,0,0,0,0,0,8,0,0,0,0,0
0,0,0,0,2377,2695,0,205,645,474,0,707,0
0,0,0,0,0,0,0,110,1364,757,0,1672,0
0,0,1435,51,3114,2787,0,164,647,528,0,825,1
0,0,0,0,2794,2447,94,63,871,60,0,0,1
533,729,1616,1014,2394,2394,0,173,704,599,2,939,1
227,432,2201,1009,2302,2366,0,133,674,545,0,940,1
0,0,1937,683,2694,2518,0,270,795,616,0,940,1
0,59,2099,395,2631,2489,0,225,779,600,0,986,1
176,189,1984,919,2712,2521,0,378,857,636,0,968,1
70,49,1984,925,2710,2511,0,326,841,621,0,961,1
288,283,2073,947,2707,2526,0,463,876,654,0,963,1
232,226,2018,945,2713,2523,0,420,866,639,0,939,1
704,15,1967,1067,1831,2509,0,535,546,688,0,1140,1
327,244,2082,960,2577,2522,0,498,780,672,0,933,1
573,571,2086,710,2672,2642,0,587,786,654,0,1114,1
717,630,1915,1243,2350,2544,0,542,748,621,0,1092,1
766,770,2269,1067,2542,2536,0,619,749,550,0,1040,1
246,925,2196,1007,2852,2468,0,588,802,677,0,999,1
656,883,2242,1232,2620,2513,0,625,784,639,0,1052,1
752,767,2243,1136,2561,2519,0,603,746,619,0,1042,1
623,951,2182,1223,2589,2490,0,545,926,664,0,1053,1
644,745,2238,1121,2544,2474,0,579,775,695,0,989,1
240,880,2263,1252,2601,2489,0,447,972,641,0,1103,1
213,1104,2234,1139,2618,2500,0,499,967,595,0,1037,1
205,481,2405,1438,2237,2536,0,376,882,649,0,1014,1
223,647,2322,1341,2546,2531,0,421,915,643,0,1136,1
335,740,2499,1364,2583,2528,0,317,871,622,0,1061,1
313,565,2413,1101,2560,2495,0,333,864,641,0,980,1
123,723,2575,1463,2618,2523,0,268,947,713,0,1091,1
182,684,2544,1405,2533,2523,0,287,898,707,0,1073,1
0,611,2529,1491,2731,2429,0,241,947,646,0,1007,1
81,611,2587,1493,2651,2533,0,247,964,695,0,1097,1
62,282,2637,1545,2762,2513,0,221,886,672,0,1073,1
0,354,2629,1577,2745,2490,0,232,918,685,0,1076,1
592,238,2555,1367,2724,2551,0,207,874,529,0,1076,1
464,93,2544,1531,2659,2539,0,218,840,682,0,1100,1
753,309,2570,1493,2250,2520,0,195,763,683,1,938,1
639,339,2543,1450,2661,2543,0,202,918,643,0,983,1
271,629,2523,1331,2661,2476,0,186,806,555,0,821,1
819,199,2527,1385,2390,2608,0,197,765,548,0,702,1
618,492,2573,1344,2697,2580,0,188,723,669,0,921,1
400,501,2595,1213,2782,2533,0,185,789,611,0,872,1
902,355,2464,1462,2522,2639,0,178,900,681,0,894,1
903,177,2314,1378,2308,2673,0,189,682,687,0,1029,1
579,144,2640,265,2658,2625,0,170,850,667,0,849,1
767,510,2603,779,2650,2607,0,171,917,642,0,848,1
880,369,2709,1263,2605,2617,0,174,752,704,0,900,1
455,77,2736,527,2614,2625,0,162,697,634,0,766,1
990,400,2544,1196,2639,2618,0,167,794,733,0,930,1
951,336,2653,1196,2632,2630,0,170,778,703,0,889,1
784,583,2557,1389,2604,2632,0,168,815,746,0,982,1
846,298,2558,745,2640,2628,0,165,808,739,0,923,1
560,896,2585,1565,2481,2635,0,160,789,763,0,763,1
638,731,2588,1582,2529,2641,0,157,763,746,0,887,1
322,965,2643,1590,2554,2603,0,147,843,744,0,779,1
525,883,2611,1535,2545,2587,0,150,824,784,0,804,1
182,845,2683,1693,2614,2593,0,133,870,754,0,839,1
175,929,2653,1639,2565,2596,0,146,847,749,0,880,1
246,720,2655,1568,2702,2620,0,129,910,715,0,777,1
285,294,2558,1523,2675,2617,0,140,907,721,0,802,1
328,684,2705,1602,2704,2616,0,124,915,721,0,788,1
403,866,2704,1616,2707,2623,0,133,916,719,0,789,1
175,832,2736,1613,2718,2619,0,130,945,713,1,794,1
284,813,2737,1622,2720,2623,0,126,937,715,0,785,1
134,928,2768,1507,2725,2616,0,114,956,664,0,906,1
176,1029,2752,1520,2713,2609,0,122,951,678,0,740,1
447,319,2724,1271,2729,2638,0,108,965,638,0,950,1
283,567,2768,1488,2730,2628,0,114,960,656,0,935,1
674,791,2730,1567,2744,2648,0,105,995,621,0,948,1
410,408,2719,1333,2732,2637,0,111,995,616,0,956,1
792,526,2799,889,2731,2643,0,94,950,654,0,976,1
719,526,2749,1034,2745,2647,0,96,956,600,0,971,1
958,626,2771,1130,2727,2647,0,94,970,683,0,1023,1
912,576,2784,1084,2720,2643,0,99,960,678,0,1009,1
292,1114,2794,1487,2745,2595,0,84,998,614,0,973,1
544,1008,2750,1649,2712,2634,0,90,988,664,0,1011,1
614,1219,2817,1680,2712,2622,0,86,999,594,0,967,1
523,1160,2786,1629,2731,2609,0,89,1005,608,0,926,1
0,962,2544,1456,2867,2617,0,70,846,594,0,954,1
662,1150,2807,1600,2685,2631,0,79,965,628,0,1011,1
417,676,2663,1419,2676,2576,0,71,936,635,0,925,1
158,1072,2693,1459,2654,2594,0,64,881,499,0,801,1
558,1202,2758,1054,2763,2614,0,71,989,636,0,964,1
464,1017,2658,988,2685,2595,0,72,977,644,0,976,1
0,400,2681,0,2896,2621,0,41,795,471,0,651,1
64,0,2815,7,2877,2692,0,62,703,683,0,1051,1
343,588,2704,170,2883,2690,0,66,886,573,0,808,1
243,688,2646,0,2909,2679,0,66,857,533,0,761,1
637,908,2759,335,2639,2690,0,57,742,546,0,860,1
432,719,2727,227,2898,2689,0,62,897,587,0,832,1
737,1117,2843,325,2777,2683,0,78,601,566,0,904,1
901,983,2791,482,2666,2709,0,69,499,575,0,898,1
752,1305,2885,597,2915,2626,0,71,794,559,0,844,1
641,1264,2850,218,2767,2633,0,70,767,591,0,981,1
1104,1535,3024,685,2945,2686,0,89,813,573,0,850,1
977,1422,2954,893,2915,2655,0,80,839,572,0,822,1
1168,1871,3105,1344,2894,2677,0,110,855,588,0,826,1
1161,1840,3098,1079,2896,2664,0,102,810,594,0,893,1
725,1615,3147,1325,2934,2675,0,133,746,699,0,949,1
1180,1856,3115,1332,2950,2676,0,121,889,650,0,837,1
