p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
0,0,0,0,1484,1859,275,3949,694,342,123,0,1
0,0,0,0,1512,1814,291,3950,737,347,78,0,1
0,0,0,0,1553,1791,297,3935,760,351,122,0,1
0,0,0,0,1563,1792,298,3935,775,355,130,0,1
0,0,0,0,1542,1812,299,3950,785,368,94,0,1
0,0,0,0,1562,1800,299,3941,796,351,86,0,1
0,0,0,0,1543,1695,266,3921,748,300,69,0,1
0,0,0,0,1571,1764,273,3940,763,246,63,0,1
0,0,0,0,1592,1667,274,3928,753,241,82,0,1
0,0,0,0,1595,1679,276,3928,748,254,83,0,1
0,0,0,0,1583,1876,183,3956,510,298,25,0,1
0,0,0,0,1640,1871,257,3937,614,321,65,0,1
0,0,0,0,1706,1842,263,3927,676,330,62,0,1
0,0,0,0,1671,1865,280,3952,660,336,84,0,1
0,0,0,0,1683,1891,283,3954,667,345,88,0,1
0,0,0,0,1670,1898,275,3946,671,353,95,0,1
0,0,0,0,1684,1901,276,3957,672,348,85,0,1
0,0,0,0,1694,1907,282,3959,644,345,92,0,1
0,0,0,0,1691,1913,284,3960,654,358,93,0,1
0,0,0,0,1687,1923,282,3953,655,359,91,0,1
0,0,0,0,1693,1932,285,3953,667,356,92,0,1
0,0,0,0,1689,1942,285,3965,672,363,75,0,1
0,0,0,0,1702,1774,287,3951,662,343,79,0,1
0,0,0,0,1703,1836,286,3951,654,345,84,0,1
0,0,0,0,1753,1876,287,3959,648,363,24,0,1
0,0,0,0,1691,1861,289,3963,690,362,65,0,1
0,0,0,0,1588,1859,299,3970,696,357,70,0,1
0,0,0,0,1566,1835,286,3961,712,303,88,0,1
0,0,0,0,1560,1840,266,3955,603,244,76,0,1
0,0,0,0,1543,1967,311,3885,680,210,117,0,1
0,0,0,0,1650,2183,255,3874,640,178,57,0,1
0,0,0,0,1808,2423,251,3882,492,167,0,0,1
0,0,0,0,1821,2544,116,3871,552,228,0,0,1
0,0,0,0,1880,2570,142,3861,597,211,17,0,1
0,0,0,0,2010,2641,91,1505,618,200,0,0,1
0,0,0,0,2003,2704,141,2603,636,255,0,0,1
0,0,0,0,1863,2740,221,3888,660,288,0,0,1
0,0,0,0,1953,2735,230,2155,700,297,46,0,1
0,0,0,0,1903,2742,221,3903,721,311,65,0,1
0,0,0,0,2033,2753,167,3881,739,322,65,0,1
0,0,0,0,2072,2762,186,3891,733,316,55,0,1
0,0,76,0,2080,2754,172,3876,747,327,59,0,1
0,0,0,0,2051,2763,115,3898,728,319,46,0,1
0,0,77,0,2077,2763,122,3892,732,319,50,0,1
0,0,0,0,2093,2763,138,3851,671,303,38,0,1
0,0,0,0,2051,2778,108,3912,573,260,27,0,1
0,0,0,0,2075,2794,127,3889,483,223,0,0,1
0,0,0,0,2121,2844,137,3847,507,226,0,0,1
0,0,0,0,2092,2670,137,3892,580,179,4,0,1
0,0,279,563,2100,2784,141,3886,609,209,38,0,1
0,0,1012,493,2182,2871,124,3873,623,232,57,0,1
0,0,1433,1427,2205,2718,123,3813,643,238,84,0,1
0,0,1454,1328,2282,2691,136,2714,587,214,111,0,1
0,0,1136,677,2193,2795,123,3870,609,265,75,0,1
0,0,757,688,2153,2925,72,3892,574,286,72,0,1
0,0,1390,1023,2176,2766,112,3837,623,232,61,0,1
0,0,1461,1110,2202,2845,67,3931,625,209,80,0,1
0,0,1520,901,2237,2918,75,3928,594,250,60,0,1
0,0,1590,954,2240,2946,86,3898,594,263,61,0,1
0,0,1578,1007,2261,2965,62,3946,602,276,62,0,1
0,0,1614,1118,2274,2967,64,3946,622,282,72,0,1
0,0,1387,1038,2283,2968,48,3904,630,291,69,0,1
0,0,1450,1097,2306,2978,51,3946,646,296,75,0,1
0,0,1455,1104,2306,2974,55,3935,645,306,76,0,1
0,0,1456,1137,2300,2982,60,3865,656,312,82,0,1
0,0,1456,1152,2300,2978,62,3850,659,311,77,0,1
0,0,1470,1182,2326,2985,60,3943,652,316,85,0,1
0,0,1406,1136,2319,2986,59,3934,657,317,78,0,1
0,0,1511,1216,2315,2967,68,3943,624,336,61,0,1
0,0,1472,1153,2372,2975,69,3903,624,334,71,0,1
0,0,1395,1263,2373,2976,70,3851,626,339,76,0,1
0,0,1497,1255,2383,2984,59,3852,636,346,90,0,1
0,0,1462,1261,2301,2800,100,2509,661,218,82,0,1
0,0,1611,1266,2328,2785,116,1328,675,163,109,0,1
0,0,1616,1312,2363,2832,64,2044,690,167,158,0,1
0,0,1630,1334,2422,2879,77,3797,695,214,146,0,1
0,0,1648,1358,2446,2922,69,3786,681,221,138,0,1
0,0,1654,1363,2450,2935,85,3822,689,227,153,0,1
0,0,1663,1358,2438,2921,86,3793,690,231,152,0,1
0,0,1647,1339,2408,2852,87,3908,678,203,145,0,1
0,0,1685,1374,2404,2873,109,3925,674,235,151,0,1
0,0,1671,1386,2406,2877,107,3888,682,253,165,0,1
0,0,1697,1397,2422,2897,109,3914,682,260,171,0,1
0,0,1680,1395,2418,2892,128,3934,680,267,169,0,1
0,0,1698,1424,2430,2904,130,3944,670,273,171,0,1
0,0,1708,1424,2432,2905,127,3940,668,281,162,0,1
0,0,1625,1423,2309,2717,131,3777,694,284,167,0,1
0,0,1681,1451,2359,2852,99,3885,635,228,89,0,1
0,0,1601,1519,2270,2714,147,3769,686,230,145,0,1
0,0,1521,1329,2257,2760,131,3746,689,235,163,0,1
0,0,1270,1283,2355,2874,112,3919,625,255,84,0,1
0,0,1373,1584,1997,2667,142,3416,672,261,93,0,1
0,0,1739,1389,1977,2310,109,543,661,264,173,0,1
0,0,1771,1519,2111,2506,107,2637,710,239,128,0,1
0,0,1767,1637,2277,2782,56,3897,705,250,173,0,1
0,0,1793,1601,2223,2818,80,3937,701,261,140,0,1
0,0,1772,1450,2216,2768,108,3864,735,277,142,0,1
0,0,1744,1418,2171,2632,159,525,759,289,176,0,1
0,0,1749,1600,2220,2715,101,3800,755,288,194,0,1
0,0,1790,1689,2302,2783,91,3852,765,294,176,0,1
0,0,1746,1851,2312,2803,79,3763,709,303,146,0,1
0,0,1805,1646,2257,2660,46,486,771,212,183,0,1
0,0,1902,1852,2253,2738,54,3841,752,259,245,0,1
0,0,1930,1822,2295,2843,49,3928,731,296,174,0,1
0,0,1937,1659,2262,2822,122,3900,639,305,162,0,1
0,0,1957,1387,2248,2829,144,3757,618,294,168,0,1
0,0,1711,1247,2190,2862,131,3783,645,308,166,0,1
0,0,1842,1367,2233,2839,133,3759,649,314,166,0,1
0,0,1964,1584,2247,2883,132,3857,649,220,194,0,1
0,0,1904,1200,1891,2811,190,3766,673,227,103,0,1
0,0,1860,478,1907,2810,186,3865,477,225,77,0,1
0,0,1882,1073,2025,2854,136,3861,522,244,133,0,1
0,0,1895,1307,2037,2855,144,3876,581,245,150,0,1
0,0,1939,1344,2052,2855,145,3867,592,248,145,0,1
