p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
0,0,0,0,953,1203,228,4018,778,484,237,904,3
0,0,0,0,989,1227,243,4019,875,538,310,947,3
0,0,0,0,986,1210,242,4028,863,532,303,940,3
0,0,0,0,989,1232,245,4019,889,556,302,955,3
0,0,0,0,1002,1233,246,4029,891,550,336,960,3
0,0,0,0,1006,1240,247,4020,900,568,312,962,3
0,0,0,0,996,1228,247,4030,892,563,316,964,3
0,0,0,0,1010,1264,252,4030,919,577,293,982,3
0,0,0,0,1011,1255,251,4029,913,578,292,972,3
0,0,0,0,1018,1281,251,4030,926,587,304,988,3
0,0,0,0,1014,1265,252,4029,926,580,274,984,3
0,0,0,0,933,1327,245,4030,896,601,290,940,3
0,0,0,0,1008,1280,250,4020,918,588,310,996,3
0,0,0,0,912,1405,236,4019,888,607,278,921,3
0,0,0,0,866,1389,202,4013,845,624,277,847,3
0,0,0,0,970,1263,241,4025,908,585,269,947,3
0,0,0,0,955,1316,226,4029,902,593,283,939,3
0,0,0,0,995,1305,254,4031,921,597,291,970,3
0,0,0,0,976,1267,254,4029,910,593,281,958,3
0,0,0,0,1004,1323,257,4030,931,601,287,987,3
0,0,0,0,993,1304,251,4019,916,593,312,977,3
0,0,0,0,976,1333,231,4021,917,605,271,1002,3
0,0,0,0,1001,1335,261,4031,932,606,270,998,3
0,0,0,0,991,1327,234,4022,931,603,268,1017,3
0,0,0,0,987,1321,233,4031,930,606,272,1009,3
0,0,0,0,1004,1335,235,4030,950,613,269,1019,3
0,0,0,0,998,1335,235,4021,933,608,281,1013,3
0,0,0,0,1013,1335,234,4021,954,614,239,1024,3
0,0,0,0,1009,1345,234,4032,951,615,271,1017,3
0,0,0,0,1016,1332,233,4022,968,617,266,1025,3
0,0,0,0,1025,1320,232,4032,965,616,258,1032,3
0,0,0,0,1021,1357,234,4023,977,626,257,1025,3
0,0,0,0,1020,1359,235,4032,970,631,275,1030,3
0,0,0,0,1035,1342,232,4033,984,627,272,1038,3
0,0,0,0,1027,1360,233,4032,976,631,274,1031,3
0,0,0,0,1036,1358,234,4033,998,639,250,1040,3
0,0,0,0,1037,1343,235,4033,989,638,278,1038,3
0,0,0,0,1035,1364,234,4034,1003,644,259,1018,3
0,0,0,0,1029,1361,237,4023,993,635,268,1027,3
0,0,0,0,1039,1344,236,4034,1011,637,242,1022,3
0,0,0,0,1036,1359,232,4024,1000,638,268,1016,3
0,0,0,0,1040,1366,238,4034,1017,639,258,1023,3
0,0,0,0,1039,1362,232,4025,1006,633,268,1021,3
0,0,0,0,1041,1362,231,4034,1010,638,292,1036,3
0,0,0,0,1038,1352,237,4023,1005,628,277,1020,3
