index,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11
1689872830351,2297,1263,0,0,1296,1579,192,236,830,637,601,0
1689872830851,2229,1355,0,0,1308,1609,196,240,805,320,635,0
1689872831351,2240,1390,0,0,1305,1625,203,244,801,270,640,0
1689872831851,2273,1379,0,0,1292,1653,202,241,792,264,660,0
1689872832351,2288,1424,0,46,1291,1675,201,245,787,254,670,0
1689872832851,2299,1401,0,3,1304,1675,202,252,793,248,671,0
1689872833351,2250,1209,0,0,1312,1694,201,253,800,245,680,0
1689872833851,2262,1264,0,0,1323,1704,206,259,802,243,682,0
1689872834351,2271,1311,0,0,1325,1708,211,259,803,242,685,0
1689872834851,2277,1327,0,0,1327,1716,209,260,806,247,684,0
1689872835351,2290,1389,0,0,1287,1713,207,259,803,241,683,0
1689872835851,2273,1200,0,0,1311,1719,209,260,798,241,694,0
1689872836351,2278,1242,0,0,1317,1726,210,259,809,245,696,0
1689872836851,2275,1232,0,0,1321,1732,205,258,804,238,698,0
1689872837351,2304,1276,0,0,1259,1731,214,255,752,234,696,0
1689872837851,2325,1329,0,0,1260,1734,250,265,637,246,694,0
1689872838351,2289,1296,0,0,1245,1726,263,241,635,248,642,0
1689872838851,2272,1104,0,0,1180,1731,299,262,743,240,658,0
1689872839351,2223,1113,0,0,1237,1728,342,266,710,232,699,0
1689872839851,2236,830,0,0,1094,1733,356,296,755,240,706,0
1689872840351,2265,881,0,0,1108,1750,274,301,728,234,636,0
1689872840851,2288,1023,0,0,1181,1757,283,294,800,243,646,0
1689872841351,2255,912,0,0,1238,1766,297,297,865,230,677,0
1689872841851,2234,946,0,0,1264,1777,291,299,889,232,674,0
1689872842351,2242,1004,0,0,1290,1780,299,300,889,230,665,0
1689872842851,2251,997,0,0,1297,1787,294,299,907,232,693,0
1689872843351,2336,1039,0,38,1323,1790,292,288,923,225,713,0
1689872843851,2380,1009,0,262,1312,1793,292,268,919,233,722,0
1689872844351,2367,1010,0,227,1329,1789,291,272,927,230,727,0
1689872844851,2266,950,0,0,1345,1793,289,269,915,230,717,0
1689872845351,2215,848,0,0,1338,1793,291,271,907,225,723,0
1689872845851,2166,816,0,0,1341,1798,283,264,910,225,718,0
1689872846351,2160,837,0,0,1351,1799,287,250,916,223,723,0
1689872846851,2203,1013,0,0,1364,1779,289,216,935,229,728,0
1689872847351,2240,1072,0,29,1370,1791,286,195,948,237,736,0
1689872847851,2398,1177,0,174,1237,1776,296,159,933,226,716,0
1689872848351,2432,1392,0,202,1328,1764,291,170,918,237,665,0
1689872848851,2410,1221,0,96,1351,1775,289,181,917,238,673,0
1689872849351,2334,1233,0,0,1383,1775,285,186,917,233,684,0
1689872849851,2255,1029,0,0,1396,1779,281,208,890,244,694,0
1689872850351,2281,987,0,0,1402,1793,283,211,904,236,694,0
1689872850851,2348,703,0,0,1402,1793,282,213,908,258,690,0
1689872851351,2359,811,0,0,1410,1798,282,212,914,265,705,0
1689872851851,2357,854,0,0,1407,1804,281,215,917,272,699,0
1689872852351,2329,918,0,0,1405,1810,281,213,916,271,698,0
1689872852851,2315,813,0,0,1329,1810,213,219,895,292,667,0
1689872853351,2302,806,0,0,1239,1713,266,308,749,301,649,0
1689872853852,2268,830,0,0,1034,1281,229,337,775,328,650,0
1689872854352,2225,690,0,0,1045,1415,223,351,593,325,629,0
1689872854852,2164,387,0,0,1098,1471,223,329,778,345,675,0
1689872855352,2221,359,0,0,1149,1500,176,311,730,308,634,0
1689872855852,2256,367,0,0,1154,1514,179,316,709,363,564,0
1689872856352,2234,379,0,0,1204,1534,180,316,698,373,589,0
1689872856852,2217,307,0,0,1213,1552,180,310,721,388,615,0
1689872857352,2196,270,0,0,1236,1558,183,310,743,394,637,0
1689872857852,2219,310,0,0,1244,1570,188,314,762,399,642,0
1689872858352,2198,450,0,0,1224,1570,206,334,761,361,645,0
1689872858852,2063,267,0,0,1024,1588,233,384,816,436,677,0
1689872859352,1920,297,0,0,1171,1592,190,366,673,427,656,0
1689872859852,2018,155,0,0,1014,1605,196,377,819,411,657,0
1689872860352,2070,0,0,0,1013,1631,139,355,787,432,617,0
1689872860852,2218,147,0,0,1138,1633,163,281,823,431,643,0
1689872861352,2161,81,0,0,1114,1618,252,319,837,418,666,0
1689872861852,2171,57,0,0,1156,1630,235,331,817,450,668,0
1689872862352,2175,80,0,0,1178,1644,226,331,826,455,685,0
1689872862852,2185,117,0,0,1214,1651,233,334,863,463,698,0
1689872863352,2205,208,0,0,1256,1660,258,311,910,465,707,0
1689872863852,2233,347,0,0,1247,1672,211,335,853,469,686,0
1689872864352,2210,214,0,0,1262,1676,216,338,906,447,709,0
1689872864852,2207,208,0,0,1273,1679,214,337,876,466,716,0
1689872865352,2199,214,0,0,1274,1683,220,340,879,473,710,0
1689872865852,2193,160,0,0,1279,1684,230,344,846,469,713,0
1689872866352,2192,329,0,0,1291,1686,245,343,896,463,727,0
1689872866852,2223,368,0,0,1300,1689,264,345,890,456,646,0
1689872867352,2224,191,0,0,1257,1690,264,341,902,431,713,0
1689872867852,2159,49,0,0,1236,1693,265,344,921,427,730,0
1689872868352,2143,35,0,0,1239,1701,288,343,858,434,834,0
1689872868852,2138,48,0,0,1235,1709,241,345,833,426,911,0
1689872869352,2131,252,0,0,1280,1713,271,342,840,418,1015,0
1689872869852,2143,289,0,0,1296,1711,269,345,890,407,1052,0
1689872870352,2145,123,0,0,1296,1713,266,344,912,381,1067,0
1689872870852,2128,44,0,0,1303,1714,277,347,922,393,998,0
1689872871352,2151,17,0,0,1311,1718,276,351,931,386,931,0
1689872871852,2147,41,0,0,1326,1720,290,354,951,379,891,0
1689872872352,2215,337,0,0,1351,1725,292,356,959,370,896,0
1689872872852,2313,337,0,0,1345,1722,289,354,882,365,928,0
1689872873352,2277,186,0,0,1335,1728,286,350,856,355,933,0
1689872873852,2300,80,0,0,1348,1728,258,348,868,321,893,0
1689872874352,2282,253,0,0,1348,1727,292,326,823,333,938,0
1689872874852,2288,299,0,0,1370,1731,295,320,878,320,946,0
1689872875352,2320,571,0,0,1353,1731,292,326,894,301,942,0
1689872875852,2309,632,0,0,1362,1741,299,329,906,292,938,0
1689872876352,2317,464,0,0,1372,1745,299,330,911,278,925,0
1689872876852,2302,335,0,0,1378,1738,295,330,913,252,901,0
1689872877352,2306,277,0,0,1384,1745,295,333,920,265,914,0
1689872877852,2332,480,0,0,1368,1746,266,333,917,231,885,0
1689872878352,2347,681,0,0,1332,1738,259,333,919,245,848,0
1689872878852,2346,602,0,0,1348,1742,262,332,911,241,719,0
1689872879352,2337,464,0,0,1348,1745,260,332,917,231,734,0
1689872879852,2339,403,0,0,1359,1749,263,334,915,214,756,0
1689872880352,2349,370,0,0,1367,1756,266,335,922,230,749,0
1689872880852,2352,711,0,0,1355,1753,263,334,921,223,741,0
1689872881352,2352,688,0,0,1356,1758,264,336,923,222,737,0
1689872881852,2342,401,0,0,1363,1761,262,336,927,223,720,0
1689872882352,2323,432,0,0,1361,1761,265,337,920,220,710,0
1689872882852,2330,448,0,0,1362,1761,265,362,919,213,728,0
1689872883352,2342,713,0,0,1362,1760,264,356,916,230,711,0
1689872883852,2336,649,0,0,1315,1760,241,364,897,222,703,0
